id,name,address,city,district,lat,lon,url_2gis,parking_type,paid,tariff,capacity,parent_object,hours,rating,review_count,has_photos
9429940001179723_y21q9esc17d0dB6I383611J3IH4Hss8x4iz504839-2465J281J2J97478B-d8dd33G4G2B16785A1AA745Hv3f8i3bdB9A8289194J8H9940012HH2IJHJIH0I69,"Орбита-3, автостоянка",,Алматы,,,,https://2gis.kz/almaty/geo/9429940001179723_y21q9esc17d0dB6I383611J3IH4Hss8x4iz504839-2465J281J2J97478B-d8dd33G4G2B16785A1AA745Hv3f8i3bdB9A8289194J8H9940012HH2IJHJIH0I69,частная,,,,,24/7,4.4,8,False
70000001054874402_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I164B8462-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G2732000013H4J2H81G9054364,Парковка ТРК АДК,,Алматы,,,,https://2gis.kz/almaty/geo/70000001054874402_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I164B8462-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G2732000013H4J2H81G9054364,ТЦ,,,,,See 2GIS,1.5,68,True
70000001054954379_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I164C6459-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G273200001AH5J2H81G90543ef,Автостоянка,,Алматы,,,,https://2gis.kz/almaty/geo/70000001054954379_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I164C6459-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G273200001AH5J2H81G90543ef,частная,,,,,24/7,4.7,8,True
70000001057443788_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I1677539A-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G2732000019H6J2H81G9054336,Автостоянка,,Алматы,,,,https://2gis.kz/almaty/geo/70000001057443788_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I1677539A-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G2732000019H6J2H81G9054336,частная,,,,,24/7,5,1,True
70000001089994206_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I199CA442-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G2732000017H7J2H81G90543fd,"Parking, парковка",,Алматы,,,,https://2gis.kz/almaty/geo/70000001089994206_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I199CA442-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G2732000017H7J2H81G90543fd,частная,,,,,24/7,,,False
70000001057445211_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I16775543-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G2732000012H8J2H81G9054316,Парковка ТРК Mega Center Alma-Ata,,Алматы,,,,https://2gis.kz/almaty/geo/70000001057445211_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I16775543-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G2732000012H8J2H81G9054316,ТЦ,,,,,24/7,3.9,1,True
70030076861608325_y21q9esc17d0dB6I38361H9J2HI9ss8x4iz504839-2465J281J2J73278B-d8dd33G4G2B16785A1918546v3f8i3bdB9A8289194J8H30076977HII3HJIHGI2G88,Парковка,,Алматы,,,,https://2gis.kz/almaty/geo/70030076861608325_y21q9esc17d0dB6I38361H9J2HI9ss8x4iz504839-2465J281J2J73278B-d8dd33G4G2B16785A1918546v3f8i3bdB9A8289194J8H30076977HII3HJIHGI2G88,частная,,,,,24/7,,,False
70000001094799026_y21q9esc17d0dB6I38361HAJ2HI3ss8x4iz504839-2465J281J2J73278B-d8dd33G4G2B16785A4AA9247v3f8i3bdB9A8289194J8H000011AHHI2JHJIHG2I6f,"Alva, станция зарядки электромобилей",,Алматы,,,,https://2gis.kz/almaty/geo/70000001094799026_y21q9esc17d0dB6I38361HAJ2HI3ss8x4iz504839-2465J281J2J73278B-d8dd33G4G2B16785A4AA9247v3f8i3bdB9A8289194J8H000011AHHI2JHJIHG2I6f,частная,,,,,24/7,4.3,10,True
70000001054917224_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I164C2744-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G2732000015HBJ2H81G90543dd,Парковка ТРК Глобус,,Алматы,,,,https://2gis.kz/almaty/geo/70000001054917224_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I164C2744-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G2732000015HBJ2H81G90543dd,ТЦ,,,,,24/7,1.7,18,True
70000001110906180_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I220C163A-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G2732000011HCJ2H81G90543cg,Парковка БЦ Нурлы Тау,,Алматы,,,,https://2gis.kz/almaty/geo/70000001110906180_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I220C163A-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G2732000011HCJ2H81G90543cg,БЦ,,,,,See 2GIS,1.7,1,False
9429940000791465_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I117C2487-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G297499400H23J2H81G905431f,Автостоянка №26,,Алматы,,,,https://2gis.kz/almaty/geo/9429940000791465_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I117C2487-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G297499400H23J2H81G905431f,частная,,,,,24/7,4.7,1,True
9429940000799990_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I117CA9B2-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G297499400H24J2H81G9054395,"Сайран-2, автостоянка",,Алматы,,,,https://2gis.kz/almaty/geo/9429940000799990_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I117CA9B2-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G297499400H24J2H81G9054395,частная,,,,,24/7,4.7,6,True
70000001110970238_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I220C8045-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G2732000019H45I1I70J62370g9,"Urban parking, платная парковка",,Алматы,,,,https://2gis.kz/almaty/geo/70000001110970238_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I220C8045-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G2732000019H45I1I70J62370g9,частная,,,,,24/7,1,4,True
70000001057442408_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I16775262-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G2732000019H46I1I70J6237031,Парковка №1006,,Алматы,,,,https://2gis.kz/almaty/geo/70000001057442408_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I16775262-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G2732000019H46I1I70J6237031,частная,,,,,24/7,2.9,29,True
70000001054917623_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I164C2784-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G2732000014H47I1I70J62370ge,Парковка ТРЦ Достык Плаза,,Алматы,,,,https://2gis.kz/almaty/geo/70000001054917623_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I164C2784-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G2732000014H47I1I70J62370ge,частная,,,,,See 2GIS,4,26,True
70000001054875981_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I164B85BA-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G2732000012H48I1I70J62370f0,Парковка ТРЦ Ритц-Палас,,Алматы,,,,https://2gis.kz/almaty/geo/70000001054875981_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I164B85BA-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G2732000012H48I1I70J62370f0,ТЦ,,,,,24/7,2.4,30,True
9429940001192409_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I121C342B-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G297499400H29J2H81G9054364,"Таугуль, автостоянка",,Алматы,,,,https://2gis.kz/almaty/geo/9429940001192409_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I121C342B-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G297499400H29J2H81G9054364,частная,,,,,24/7,5,3,True
70000001093570449_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I1A388066-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G273200001AH4AI1I70J62370Ab,"Parqour, платная парковка",,Алматы,,,,https://2gis.kz/almaty/geo/70000001093570449_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I1A388066-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G273200001AH4AI1I70J62370Ab,частная,,,,,24/7,,,True
70000001057445380_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I1677555A-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G2732000011H4BI1I70J62370Ad,Парковка ТД Алтын — Тараз,,Алматы,,,,https://2gis.kz/almaty/geo/70000001057445380_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I1677555A-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G2732000011H4BI1I70J62370Ad,частная,,,,,,3.9,5,False
9429940001704788_y21q9esc17d0dB6I383612CJ2HI3ss8x4iz504839-2465J281J2J97478B-d8dd33G4G2B16785A7357AAHv3f8i3bdB9A8289194J8H9940012HHI2JHJIHG2I61,"Алмагуль, автостоянка",,Алматы,,,,https://2gis.kz/almaty/geo/9429940001704788_y21q9esc17d0dB6I383612CJ2HI3ss8x4iz504839-2465J281J2J97478B-d8dd33G4G2B16785A7357AAHv3f8i3bdB9A8289194J8H9940012HHI2JHJIHG2I61,частная,,,,,24/7,4.7,9,True
70000001110950980_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I220C60BA-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G2732000011H53I1I70J6237067,"Almaty Parking, парковка №4002",,Алматы,,,,https://2gis.kz/almaty/geo/70000001110950980_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I220C60BA-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G2732000011H53I1I70J6237067,частная,,,,,24/7,,,True
70000001089530729_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I19984094-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G273200001AH54I1I70J6237031,"Almaty Parking, парковка №2016",,Алматы,,,,https://2gis.kz/almaty/geo/70000001089530729_21q9esv3dBdB9A824J8H1J2JH0IIGHGJss8x4izy39-c17d016785A6I19984094-d8d50482465J28B383619191462J3JIf8i3b78B8d33G4G273200001AH54I1I70J6237031,частная,,,,,24/7,,,True
9429940000794505_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I117C5527-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G297499400H35J2H81G9054341,"Горный, автостоянка",,Алматы,,,,https://2gis.kz/almaty/geo/9429940000794505_21q9esv3dBdB9A824J8H1J2J1GIIGHG3ss8x4izy39-c17d016785A6I117C5527-d8d50482465J28B38361919452I5HJIf8i3b78B8d33G4G297499400H35J2H81G9054341,частная,,,,,24/7,4.6,4,False
